year,intensity
2009,444.8492408
2010,461.4958329
2011,449.7069871
2012,504.6059433
2013,474.9710583
2014,418.7370704
2015,355.8620847
2016,273.8461232
2017,240.0079918
2018,214.2839365
2019,189.2223427
2020,167.9820676
2021,183.2718918
2022,181.0683297
2023,148.8648248
2024,124.1708983
2025,127.2959242
2026,140.7082565
