retailer_code,source_year,year,kpi,method,kpi_type,source_value,source_unit,value,unit,unit_neum,unit_denom_1,unit_denom_2,business_scope,note
ALDI,2023,2023,Scope 1 and 2,Location,Intensity,11.1809,tCO2e/mGBP Sales,11.1809,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2019,Energy,,Measure,750247,MWh,750.247,GWh,,,,UK,
ALDI,2020,2020,Energy,,Measure,795826,MWh,795.826,GWh,,,,UK,
ALDI,2021,2021,Energy,,Measure,798298,MWh,798.298,GWh,,,,UK,
ALDI,2022,2022,Energy,,Measure,790180,MWh,790.18,GWh,,,,UK,
ALDI,2023,2022,Energy,,Measure,813398,MWh,813.398,GWh,,,,UK,
ALDI,2023,2023,Energy,,Measure,806664,MWh,806.664,GWh,,,,UK,
ALDI,2020,2019,Scope 1,Location,Measure,113533,tCO2e,113533,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1,Location,Measure,106812,tCO2e,106812,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1,Location,Measure,105622,tCO2e,105622,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1,Location,Measure,105463,tCO2e,105463,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1,Location,Measure,103564,tCO2e,103564,tCO2e,,,,UK,
ALDI,2023,2022,Scope 1,Location,Measure,103822,tCO2e,103822,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1,Location,Measure,92734,tCO2e,92734,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 - 3,Location,Measure,239317,tCO2e,239317,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 - 3,Location,Measure,232957,tCO2e,232957,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 - 3,Location,Measure,231024,tCO2e,231024,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 - 3,Location,Measure,231023,tCO2e,220123,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 - 3,Location,Measure,219865,tCO2e,219856,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 - 3,Location,Measure,221289,tCO2e,221289,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 - 3,Market,Measure,138486,tCO2e,138486,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 - 3,Market,Measure,131223,tCO2e,131223,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 - 3,Market,Measure,134666,tCO2e,134666,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 - 3,Market,Measure,131640,tCO2e,131640,tCO2e,,,,UK,
ALDI,2023,2022,Scope 1 - 3,Market,Measure,131897,tCO2e,131897,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 - 3,Market,Measure,125319,tCO2e,125319,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 and 2,Location,Measure,214364,tCO2e,214364,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 and 2,Location,Measure,208547,tCO2e,208547,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 and 2,Location,Measure,201980,tCO2e,201980,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 and 2,Location,Measure,201820,tCO2e,201820,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 and 2,Location,Measure,191790,tCO2e,191790,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 and 2,Location,Measure,188704,tCO2e,188704,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 and 2,Market,Measure,113533,tCO2e,113533,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 and 2,Market,Measure,106812,tCO2e,106812,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 and 2,Market,Measure,105622,tCO2e,105622,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 and 2,Market,Measure,105463,tCO2e,105463,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 and 2,Market,Measure,103564,tCO2e,103564,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 and 2,Market,Measure,92734,tCO2e,92734,tCO2e,,,,UK,
ALDI,2020,2019,Scope 2,Location,Measure,100831,tCO2e,100831,tCO2e,,,,UK,
ALDI,2020,2020,Scope 2,Location,Measure,101734,tCO2e,101734,tCO2e,,,,UK,
ALDI,2021,2021,Scope 2,Location,Measure,96358,tCO2e,96358,tCO2e,,,,UK,
ALDI,2022,2022,Scope 2,Location,Measure,88226,tCO2e,88226,tCO2e,,,,UK,
ALDI,2023,2023,Scope 2,Location,Measure,95970,tCO2e,95970,tCO2e,,,,UK,
ALDI,2020,2019,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
ALDI,2020,2020,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
ALDI,2021,2021,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
ALDI,2022,2022,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
ALDI,2023,2023,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
ALDI,2020,2019,Scope 3,,Measure,24953,tCO2e,24953,tCO2e,,,,UK,
ALDI,2020,2020,Scope 3,,Measure,24410,tCO2e,24410,tCO2e,,,,UK,
ALDI,2021,2020,Scope 3,,Measure,24410,tCO2e,24410,tCO2e,,,,UK,
ALDI,2021,2021,Scope 3,,Measure,29044,tCO2e,29044,tCO2e,,,,UK,
ALDI,2022,2021,Scope 3,,Measure,29203,tCO2e,29203,tCO2e,,,,UK,
ALDI,2022,2022,Scope 3,,Measure,28075,tCO2e,28075,tCO2e,,,,UK,
ALDI,2023,2023,Scope 3,,Measure,32586,tCO2e,32586,tCO2e,,,,UK,
ASDA,2022,2021,Scope 1 - 3,Location,Intensity,26.61,tCO2e/mGBP Sales,26.61,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ASDA,2022,2022,Scope 1 - 3,Location,Intensity,23.51,tCO2e/mGBP Sales,23.51,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ASDA,2023,2023,Scope 1 - 3,Location,Intensity,20.16,tCO2e/mGBP Sales,20.16,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ASDA,2022,2021,Energy,,Measure,2339827054,KWh,233.9827,GWh,,,,UK,
ASDA,2022,2022,Energy,,Measure,2230990785,KWh,223.0991,GWh,,,,UK,
ASDA,2023,2023,Energy,,Measure,2264562056,KWh,226.4562,GWh,,,,UK,
ASDA,2022,2021,Scope 1,,Measure,309131,tCO2e,309131,tCO2e,,,,UK,
ASDA,2022,2022,Scope 1,,Measure,368060,tCO2e,368060,tCO2e,,,,UK,
ASDA,2023,2022,Scope 1,,Measure,245315,tCO2e,245315,tCO2e,,,,UK,
ASDA,2022,2021,Scope 1 - 3,Location,Measure,624912,tCO2e,624912,tCO2e,,,,UK,
ASDA,2022,2022,Scope 1 - 3,Location,Measure,575505,tCO2e,575505,tCO2e,,,,UK,
ASDA,2023,2023,Scope 1 - 3,Location,Measure,563130,tCO2e,563130,tCO2e,,,,UK,
ASDA,2022,2021,Scope 2,Location,Measure,234548,tCO2e,234548,tCO2e,,,,UK,
ASDA,2022,2022,Scope 2,Location,Measure,206839,tCO2e,206839,tCO2e,,,,UK,
ASDA,2023,2023,Scope 2,Location,Measure,216994,tCO2e,216994,tCO2e,,,,UK,
ASDA,2022,2021,Scope 3,Location,Measure,233,tCO2e,233,tCO2e,,,,UK,
ASDA,2022,2022,Scope 3,Location,Measure,606,tCO2e,606,tCO2e,,,,UK,
ASDA,2023,2023,Scope 3,Location,Measure,821,tCO2e,821,tCO2e,,,,UK,
COOP,2013,2010,Scope 1 and 2,Location,Intensity,76.84,tCO2e/mGBP Sales,76.84,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2013,2011,Scope 1 and 2,Location,Intensity,66.93,tCO2e/mGBP Sales,66.93,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2013,2012,Scope 1 and 2,Location,Intensity,62.21,tCO2e/mGBP Sales,62.21,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2013,2013,Scope 1 and 2,Location,Intensity,62.85,tCO2e/mGBP Sales,62.85,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2014,2014,Scope 1 and 2,Location,Intensity,72.18,tCO2e/mGBP Sales,72.18,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2015,2015,Scope 1 and 2,Location,Intensity,68.16,tCO2e/mGBP Sales,68.16,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2016,2016,Scope 1 and 2,Location,Intensity,63.5,tCO2e/mGBP Sales,63.5,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2017,2017,Scope 1 and 2,Location,Intensity,52.8,tCO2e/mGBP Sales,52.8,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2018,2018,Scope 1 and 2,Location,Intensity,42.7,tCO2e/mGBP Sales,42.7,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2019,2019,Scope 1 and 2,Location,Intensity,36.4,tCO2e/mGBP Sales,36.4,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2020,2020,Scope 1 and 2,Location,Intensity,30.5,tCO2e/mGBP Sales,30.5,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2021,2021,Scope 1 and 2,Location,Intensity,28.6,tCO2e/mGBP Sales,28.6,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2022,2022,Scope 1 and 2,Location,Intensity,25.3,tCO2e/mGBP Sales,25.3,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
COOP,2012,2012,Scope 1,,Measure,288395,tCO2e,288395,tCO2e,,,,UK,
COOP,2013,2013,Scope 1,,Measure,308518,tCO2e,308518,tCO2e,,,,UK,
COOP,2014,2014,Scope 1,,Measure,333877,tCO2e,333877,tCO2e,,,,UK,
COOP,2015,2015,Scope 1,,Measure,330698,tCO2e,330698,tCO2e,,,,UK,
COOP,2016,2016,Scope 1,,Measure,342249,tCO2e,342249,tCO2e,,,,UK,
COOP,2017,2017,Scope 1,,Measure,296717,tCO2e,296717,tCO2e,,,,UK,
COOP,2018,2018,Scope 1,,Measure,247417,tCO2e,247417,tCO2e,,,,UK,
COOP,2019,2019,Scope 1,,Measure,231931,tCO2e,231931,tCO2e,,,,UK,
COOP,2020,2019,Scope 1,,Measure,205000,tCO2e,205000,tCO2e,,,,UK,
COOP,2020,2020,Scope 1,,Measure,182000,tCO2e,182000,tCO2e,,,,UK,
COOP,2021,2021,Scope 1,,Measure,225000,tCO2e,225000,tCO2e,,,,UK,
COOP,2022,2022,Scope 1,,Measure,18000,tCO2e,180000,tCO2e,,,,UK,
COOP,2012,2006,Scope 1 and 2,Location,Measure,1408419,tCO2e,1408419,tCO2e,,,,UK,
COOP,2013,2006,Scope 1 and 2,Location,Measure,1307975,tCO2e,1307975,tCO2e,,,,UK,
COOP,2016,2006,Scope 1 and 2,Location,Measure,1204760,tCO2e,1204760,tCO2e,,,,UK,
COOP,2017,2006,Scope 1 and 2,Location,Measure,1189738,tCO2e,1189738,tCO2e,,,,UK,
COOP,2012,2009,Scope 1 and 2,Location,Measure,1088730,tCO2e,1088730,tCO2e,,,,UK,
COOP,2014,2009,Scope 1 and 2,Location,Measure,1204760,tCO2e,1204760,tCO2e,,,,UK,
COOP,2012,2010,Scope 1 and 2,Location,Measure,932254,tCO2e,932254,tCO2e,,,,UK,
COOP,2013,2010,Scope 1 and 2,Location,Measure,889931,tCO2e,889931,tCO2e,,,,UK,
COOP,2012,2011,Scope 1 and 2,Location,Measure,852575,tCO2e,852575,tCO2e,,,,UK,
COOP,2013,2011,Scope 1 and 2,Location,Measure,780548,tCO2e,780548,tCO2e,,,,UK,
COOP,2014,2011,Scope 1 and 2,Location,Measure,755504,tCO2e,755504,tCO2e,,,,UK,
COOP,2012,2012,Scope 1 and 2,Location,Measure,803581,tCO2e,803581,tCO2e,,,,UK,
COOP,2013,2012,Scope 1 and 2,Location,Measure,738738,tCO2e,738738,tCO2e,,,,UK,
COOP,2014,2012,Scope 1 and 2,Location,Measure,715278,tCO2e,715278,tCO2e,,,,UK,
COOP,2013,2013,Scope 1 and 2,Location,Measure,715722,tCO2e,715722,tCO2e,,,,UK,
COOP,2014,2013,Scope 1 and 2,Location,Measure,694725,tCO2e,694725,tCO2e,,,,UK,
COOP,2014,2014,Scope 1 and 2,Location,Measure,737263,tCO2e,737263,tCO2e,,,,UK,
COOP,2017,2014,Scope 1 and 2,Location,Measure,732061,tCO2e,732061,tCO2e,,,,UK,
COOP,2015,2015,Scope 1 and 2,Location,Measure,688218,tCO2e,688218,tCO2e,,,,UK,
COOP,2016,2015,Scope 1 and 2,Location,Measure,714035,tCO2e,714035,tCO2e,,,,UK,
COOP,2016,2016,Scope 1 and 2,Location,Measure,652689,tCO2e,652689,tCO2e,,,,UK,
COOP,2017,2016,Scope 1 and 2,Location,Measure,646538,tCO2e,646538,tCO2e,,,,UK,
COOP,2017,2017,Scope 1 and 2,Location,Measure,542480,tCO2e,542480,tCO2e,,,,UK,
COOP,2018,2018,Scope 1 and 2,Location,Measure,435980,tCO2e,435980,tCO2e,,,,UK,
COOP,2019,2019,Scope 1 and 2,Location,Measure,396842,tCO2e,396842,tCO2e,,,,UK,
COOP,2020,2020,Scope 1 and 2,Location,Measure,349000,tCO2e,349000,tCO2e,,,,UK,
COOP,2021,2021,Scope 1 and 2,Location,Measure,320000,tCO2e,320000,tCO2e,,,,UK,
COOP,2022,2022,Scope 1 and 2,Location,Measure,288000,tCO2e,288000,tCO2e,,,,UK,
COOP,2023,2023,Scope 1 and 2,Location,Measure,263000,tCO2e,263000,tCO2e,,,,UK,
COOP,2024,2024,Scope 1 and 2,Location,Measure,252000,tCO2e,252000,tCO2e,,,,UK,
COOP,2012,2006,Scope 1 and 2,Market,Measure,987587,tCO2e,987587,tCO2e,,,,UK,
COOP,2018,2006,Scope 1 and 2,Market,Measure,1204760,tCO2e,1204760,tCO2e,,,,UK,
COOP,2012,2009,Scope 1 and 2,Market,Measure,583097,tCO2e,583097,tCO2e,,,,UK,
COOP,2012,2010,Scope 1 and 2,Market,Measure,329133,tCO2e,329133,tCO2e,,,,UK,
COOP,2012,2011,Scope 1 and 2,Market,Measure,301481,tCO2e,301481,tCO2e,,,,UK,
COOP,2012,2012,Scope 1 and 2,Market,Measure,272559,tCO2e,272559,tCO2e,,,,UK,
